"","long","lat"
"V.526",-100.008384790601,17.5550922236448
"V.527",-99.434293730483,16.7131382197519
"V.528",-98.866950897265,15.8725126876526
"V.529",-98.305864517327,15.0332770990493
"V.530",-97.750734062345,14.1953554680877
"V.531",-97.200712588862,13.3597253655926
"V.532",-96.657029530929,12.5255022820665
"V.533",-96.117991001632,11.692607670334
"V.534",-95.58343307643,10.8609091954799
"V.535",-95.052782019433,10.0304034424096
"V.536",-94.525873906102,9.20097002903898
"V.537",-94.002189642059,8.37260639404712
"V.538",-93.481565302764,7.5451588581777
"V.539",-92.963509114596,6.71858174454063
"V.540",-92.447829832261,5.89275552482543
"V.541",-91.934063002892,5.06765543959638
"V.542",-91.421990060438,4.24313677422042
"V.543",-90.911228514304,3.41915043671289
"V.544",-90.401505156925,2.59558436928274
"V.545",-89.892492139219,1.77233761319628
"V.546",-89.383861612106,0.94933386243389
"V.547",-88.87534036802,0.126430323353227
"V.548",-88.366600557881,-0.696416386419108
"V.549",-87.857341653365,-1.51933844171572
"V.550",-87.347235805392,-2.34238968363719
"V.551",-86.835982485638,-3.16573483713638
"V.552",-86.323226524267,-3.98938756259163
"V.553",-85.808722034468,-4.81350708878796
"V.554",-85.292086525648,-5.63810302067891
"V.555",-84.773046790241,-6.46337044554263
"V.556",-84.251247658408,-7.28929484922714
"V.557",-83.726415922585,-8.11603716806477
"V.558",-83.198087129906,-8.94359825582914
"V.559",-82.666042714318,-9.7721300842293
"V.560",-82.129818222959,-10.601601917414
"V.561",-81.589167769018,-11.4321682884132
"V.562",-81.043599578874,-12.2637984613756
"V.563",-80.493222935554,-13.0976595448757
"V.564",-79.936180027604,-13.9327167652541
"V.565",-79.373208515455,-14.7689829291157
"V.566",-78.803843946243,-15.6063777817376
"V.567",-78.227703829374,-16.4449645023697
"V.568",-77.644351032742,-17.284667958931
"V.569",-77.053430386509,-18.1254744910434
"V.570",-76.454422796299,-18.9673294571933
"V.571",-75.847082375301,-19.8104770366436
"V.572",-75.230507538546,-20.6544493614362
"V.573",-74.604643644519,-21.4990620164636
"V.574",-73.969053561114,-22.3441749828476
"V.575",-73.323300156225,-23.1895440813255
"V.576",-72.667028260013,-24.0348551231954
"V.577",-71.99999198567,-24.8795531555874
"V.578",-71.322136691681,-25.7229039331655
"V.579",-70.892135302294,-26.8818248183239
"V.580",-70.878802773034,-27.9242363366202
"V.581",-70.865033111667,-28.9644485340037
"V.582",-70.850717035167,-30.0017288726861
"V.583",-70.83588186429,-31.0356521733913
"V.584",-70.820554919792,-32.0660442662957
"V.585",-70.804708880918,-33.0928095287508
"V.586",-70.78823446464,-34.1159240550945
"V.587",-70.770858463391,-35.1351897698409
"V.588",-70.753154613062,-36.1505554465713
"V.589",-70.734795064573,-37.1623147834198
"V.590",-70.715670534897,-38.1705292520892
"V.591",-70.695808344791,-39.1753217959843
"V.592",-70.675153852741,-40.1767846226591
"V.593",-70.653543134207,-41.1750440906132
"V.594",-70.631140113729,-42.1702094828732
"V.595",-70.606578753474,-43.1618368371432
"V.596",-70.582290600785,-44.1499637194635
"V.597",-70.556773014046,-45.1354234129129
"V.598",-70.530217238553,-46.1183866722207
"V.599",-70.502268104469,-47.0990447426836
